Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,136,14713
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,156,2078
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,184,11607
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,30,44181
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,40,51824
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,45,42945
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,531,1053
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,533,5588
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,535,3086
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,541,806
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,61,71146
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,77,3873
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,96,45158
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,AZ Ave Link,22942
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,Buzz,10494
Aug,2014,FY14-15,08/01/2014 12:00:00 AM,Main St Link,29109
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,104,21951
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,108,4738
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,112,36744
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,120,10689
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,128,8759
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,136,15637
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,156,2297
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,184,12171
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,30,45570
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,40,48130
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,45,42270
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,531,963
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,533,6108
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,535,3269
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,541,785
Sep,2014,FY14-15,09/01/2014 12:00:00 AM,61,74156
